總價(萬元),占比乗面積,building,屋齡,樓別/樓高,管理組織,電梯,主要用途,region,衛,廳,房
860,24.705124,condominium,24,二層/五層,有,有,住家用,Eastern District,2,2,3
860,21.552966,high-rise  apartment  (building),29,九層/二十五層,有,有,住家用,Eastern District,2,2,2
860,25.538898,high-rise  apartment  (building),28,十二層/二十三層,有,有,住家用,Eastern District,2,2,3
855,26.800956,high-rise  apartment  (building),24,六層/十二層,有,有,住家用,Eastern District,2,2,3
850,28.89,House,49,全/二層,無,無,住家用,Eastern District,2,2,3
850,22.411374,condominium,29,二層/八層,有,有,住家用,Eastern District,2,2,3
850,24.825076,condominium,30,三層/九層,有,有,住家用,Eastern District,2,2,3
850,24.51,House,48,全/二層,無,無,住家用,Eastern District,2,2,4
850,52.48,House,49,全/二層,無,無,住商用,Eastern District,4,3,4
850,22.010727,condominium,30,四層/七層,有,有,住家用,Eastern District,2,2,3
850,25.1379,condominium,33,一層/五層,有,有,住家用,Eastern District,2,2,4
850,21.880674,condominium,8,三層/五層,有,有,住家用,Eastern District,2,1,2
850,54.3582,high-rise  apartment  (building),33,十五層/二十二層,有,有,商業用,Eastern District,1,1,1
845,18.973644,condominium,32,"七層,夾層/七層",有,有,住家用,Eastern District,2,2,3
840,17.107008,condominium,4,五層/六層,有,有,住家用,Eastern District,1,1,2
840,70.95,House,32,全/五層,無,無,住家用,Eastern District,2,4,4
840,35.419667,high-rise  apartment  (building),24,十三層/十三層,有,有,住家用,Eastern District,2,2,3
838,26.94,House,48,全/二層,無,無,住家用,Eastern District,1,2,2
836,15.728251,high-rise  apartment  (building),14,三層/十四層,有,有,住家用,Eastern District,1,1,2
836,25.879085,high-rise  apartment  (building),29,五層/十三層,有,有,住家用,Eastern District,2,2,3
836,23.60033,condominium,28,四層/九層,有,有,住家用,Eastern District,2,2,3
835,26.247705,condominium,33,六層/六層,有,有,住家用,Eastern District,2,2,3
835,15.718707,high-rise  apartment  (building),1,十四層/十四層,有,有,住家用,Eastern District,2,1,2
832,24.31,House,50,全/二層,無,無,住家用,Eastern District,2,2,6
830,12.891312,condominium,30,六層/六層,有,有,住家用,Eastern District,2,2,3
830,14.83,House,53,全/二層,無,無,住家用,Eastern District,2,3,3
830,20.297817,condominium,30,五層/九層,有,有,住家用,Eastern District,2,2,3
830,29.73,House,45,全/二層,無,無,住家用,Eastern District,2,2,5
830,24.077105,high-rise  apartment  (building),28,六層/十八層,有,有,住家用,Eastern District,2,2,3
830,22.71368,condominium,30,三層/六層,有,有,住家用,Eastern District,2,2,3
830,26.044656,high-rise  apartment  (building),27,十二層/十六層,有,有,住家用,Eastern District,2,2,3
830,22.113195,high-rise  apartment  (building),28,十八層/二十三層,有,有,住家用,Eastern District,2,2,3
830,24.32034,high-rise  apartment  (building),25,三層/十二層,有,有,住家用,Eastern District,2,2,3
830,32.963268,condominium,29,"一層,二層,騎樓/七層",有,有,住商用,Eastern District,2,2,3
830,27.665225,condominium,23,二層/七層,有,有,住家用,Eastern District,2,2,3
830,22.142875,condominium,29,六層/六層,有,有,住家用,Eastern District,2,2,3
828,27.553944,high-rise  apartment  (building),25,十層/十四層,有,有,住家用,Eastern District,2,2,3
828,21.35044,high-rise  apartment  (building),29,二十二層/二十五層,有,有,住家用,Eastern District,2,1,3
826,23.654106,condominium,29,五層/九層,有,有,住家用,Eastern District,2,2,3
825,21.476052,Apartment,42,一層/五層,無,無,住商用,Eastern District,2,2,3
825,28.70674,high-rise  apartment  (building),28,十五層/十八層,有,有,住家用,Eastern District,2,2,3
820,13.934006,condominium,16,五層/七層,有,有,住家用,Eastern District,2,1,2
820,19.129792,condominium,29,"三層,夾層/六層",有,有,住家用,Eastern District,2,2,3
820,23.18,House,52,全/二層,無,無,住家用,Eastern District,3,4,4
820,21.48,House,55,全/二層,無,無,住家用,Eastern District,1,5,5
820,19.8835,condominium,24,七層/八層,有,有,住家用,Eastern District,2,1,2
820,30.708755,high-rise  apartment  (building),24,二層/十二層,有,有,住家用,Eastern District,2,2,3
820,17.135549,high-rise  apartment  (building),19,九層/十四層,有,有,住家用,Eastern District,1,1,1
820,23.910216,condominium,34,六層/七層,有,有,住家用,Eastern District,2,2,3
820,28.122734,condominium,30,二層/七層,有,有,商業用,Eastern District,1,2,3
820,23.641554,condominium,25,"一層,二層/九層",有,有,住商用,Eastern District,1,1,1
820,39.46,House,38,全/二層,無,無,住家用,Eastern District,2,4,4
820,23.735556,condominium,26,一層/七層,有,有,住家用,Eastern District,2,2,3
818,42.91086,high-rise  apartment  (building),32,四層/十二層,有,有,住家用,Eastern District,2,2,4
815,24.76782,high-rise  apartment  (building),33,七層/二十二層,有,有,商業用,Eastern District,1,1,1
815,19.0987,condominium,34,七層/七層,有,有,住家用,Eastern District,1,4,5
810,24.098492,condominium,44,六層/七層,無,有,住家用,Eastern District,2,2,3
810,49.27992,condominium,33,五層/五層,有,有,住家用,Eastern District,2,2,4
810,20.7765,condominium,30,七層/九層,有,有,住家用,Eastern District,2,2,3
808,24.086886,condominium,44,五層/七層,無,有,住家用,Eastern District,2,2,3
808,25.578225,condominium,34,六層/七層,有,有,住家用,Eastern District,1,2,3
806,21.358575,high-rise  apartment  (building),29,六層/二十五層,有,有,住家用,Eastern District,2,2,3
800,21.843187,condominium,32,八層/八層,有,有,住家用,Eastern District,2,3,4
800,33.266088,condominium,33,一層/七層,有,有,商業用,Eastern District,2,2,3
800,25.02,House,52,全/二層,無,無,住家用,Eastern District,2,2,3
800,35.75,House,44,全/二層,無,無,住家用,Eastern District,2,3,4
800,23.072463,condominium,28,九層/九層,有,有,住家用,Eastern District,2,2,2
800,28.79,House,45,全/三層,無,無,住家用,Eastern District,2,3,6
800,21.597534,condominium,31,六層/六層,有,有,住家用,Eastern District,2,3,3
800,17.907032,condominium,16,三層/七層,有,有,住家用,Eastern District,1,1,1
800,23.370375,Apartment,42,五層/五層,無,無,住家用,Eastern District,7,1,7
800,35.63781,high-rise  apartment  (building),6,十四層/十五層,有,有,住家用,Eastern District,2,2,3
800,18.128994,condominium,29,"三層,夾層/六層",有,有,住家用,Eastern District,1,2,3
800,27.19,House,47,全/二層,有,無,住家用,Eastern District,2,2,3
800,26.32,House,51,全/二層,無,無,住商用,Eastern District,2,2,4
800,33.84,House,58,全/二層,無,無,住家用,Eastern District,1,2,4
800,22.21776,condominium,28,三層/七層,有,有,住家用,Eastern District,1,2,3
800,57.43,House,43,全/三層,無,無,住商用,Eastern District,1,2,4
800,25.22,House,48,全/二層,無,無,住家用,Eastern District,2,2,4
800,24.599988,high-rise  apartment  (building),30,二層/十六層,有,有,住家用,Eastern District,1,2,2
799,25.65,House,47,全/二層,無,無,住家用,Eastern District,2,2,3
798,23.299775,condominium,1,六層/八層,有,有,住家用,Eastern District,2,2,2
798,33.36,House,43,全/三層,無,無,住家用,Eastern District,2,2,4
790,26.204035,condominium,30,一層/七層,有,有,住家用,Eastern District,2,2,3
790,16.808805,condominium,8,二層/五層,無,有,住家用,Eastern District,2,1,2
790,23.82,House,51,全/二層,無,無,住家用,Eastern District,2,4,5
790,21.969738,condominium,30,七層/九層,有,有,住家用,Eastern District,2,2,3
790,22.204182,high-rise  apartment  (building),28,十六層/二十層,有,有,住家用,Eastern District,2,2,3
788,21.245268,high-rise  apartment  (building),30,七層/十三層,有,有,住家用,Eastern District,2,2,3
788,18.853056,condominium,31,五層/六層,有,有,住家用,Eastern District,2,1,2
788,23.192078,condominium,28,七層/九層,有,有,住家用,Eastern District,2,2,3
788,26.76326,condominium,29,二層/七層,無,有,住家用,Eastern District,2,2,3
782,28.5048,high-rise  apartment  (building),25,三層/十四層,有,有,住家用,Eastern District,2,2,4
780,16.6023,high-rise  apartment  (building),28,九層/十六層,有,有,住家用,Eastern District,2,1,2
780,26.367797,high-rise  apartment  (building),31,十二層/十四層,有,有,住家用,Eastern District,2,2,3
780,18.844133,condominium,29,"三層,夾層/六層",有,有,住家用,Eastern District,2,2,3
780,20.430795,condominium,32,六層/七層,有,有,住家用,Eastern District,2,2,3
780,30.82627,high-rise  apartment  (building),27,三層/十六層,有,有,住家用,Eastern District,2,2,4
780,21.626622,high-rise  apartment  (building),30,十一層/十三層,有,有,住家用,Eastern District,2,2,3
780,20.16,House,51,全/二層,無,無,住家用,Eastern District,1,2,3
780,35.916,Apartment,33,二層/五層,有,無,住家用,Eastern District,2,2,4
770,23.8625,high-rise  apartment  (building),28,四層/二十層,有,有,住家用,Eastern District,2,2,3
770,22.460924,high-rise  apartment  (building),28,十七層/十八層,有,有,住家用,Eastern District,2,2,3
770,24.102368,Apartment,35,二層/五層,無,無,住家用,Eastern District,1,2,3
770,26.17,House,44,全/三層,無,無,住家用,Eastern District,2,4,4
768,20.510577,high-rise  apartment  (building),20,十二層/十四層,有,有,住家用,Eastern District,1,1,1
768,24.48576,high-rise  apartment  (building),29,四層/二十四層,有,有,住家用,Eastern District,2,2,3
768,20.46,House,53,全/一層,無,無,住家用,Eastern District,3,2,5
765,24.867843,Apartment,40,一層/四層,無,無,住家用,Eastern District,2,2,3
760,27.31,House,49,全/二層,無,無,住家用,Eastern District,2,2,3
760,21.413644,condominium,30,三層/六層,有,有,住家用,Eastern District,2,2,3
760,17.162054,high-rise  apartment  (building),28,十六層/二十層,有,有,住家用,Eastern District,1,1,2
760,38.336661,condominium,28,"一層,地下一層/九層",有,有,住家用,Eastern District,3,2,2
759,26.49,House,44,全/二層,無,無,住家用,Eastern District,2,2,5
758,26.48,House,49,全/二層,無,無,住家用,Eastern District,2,2,2
756,22.911113,high-rise  apartment  (building),23,九層/十二層,有,有,住家用,Eastern District,2,2,3
755,18.8786,high-rise  apartment  (building),29,二層/十四層,有,有,住家用,Eastern District,2,2,3
750,21.03062,condominium,31,五層/七層,無,有,住家用,Eastern District,2,2,2
750,21.81,House,50,全/二層,無,無,住家用,Eastern District,2,2,3
750,24.052117,condominium,39,七層/七層,有,有,住家用,Eastern District,2,5,6
750,24.487526,high-rise  apartment  (building),29,十二層/二十四層,有,有,住家用,Eastern District,2,2,3
750,20.685456,high-rise  apartment  (building),25,十二層/十四層,有,有,住家用,Eastern District,2,1,2
750,25.645568,high-rise  apartment  (building),33,一層/十二層,有,有,住家用,Eastern District,2,3,4
750,14.8475,condominium,32,七層/七層,有,有,住家用,Eastern District,5,1,6
750,21.355789,high-rise  apartment  (building),29,六層/二十五層,有,有,住家用,Eastern District,2,2,3
750,24.84,House,50,全/二層,無,無,住家用,Eastern District,2,4,4
750,21.62999,high-rise  apartment  (building),30,一層/十三層,有,有,住家用,Eastern District,2,2,3
750,24.227805,condominium,29,七層/九層,有,有,住家用,Eastern District,2,2,3
750,32.319981,Apartment,39,三層/五層,無,無,住家用,Eastern District,2,2,4
750,24.74,House,51,全/二層,無,無,住家用,Eastern District,2,2,3
750,17.515695,condominium,24,四層/八層,有,有,住家用,Eastern District,2,1,2
750,29.320038,condominium,30,四層/七層,有,有,住家用,Eastern District,2,2,3
750,21.918246,high-rise  apartment  (building),29,七層/二十四層,有,有,住家用,Eastern District,2,2,3
750,26.981307,condominium,33,二層/六層,有,有,住家用,Eastern District,2,2,3
743,16.441335,condominium,5,四層/五層,有,有,住家用,Eastern District,2,1,2
740,19.79271,high-rise  apartment  (building),30,八層/十六層,有,有,住家用,Eastern District,2,2,2
740,16.34193,condominium,29,十層/十層,有,有,住家用,Eastern District,2,2,3
740,21.42,House,54,全/二層,無,無,住家用,Eastern District,2,1,2
739,20.922209,condominium,28,四層/八層,有,有,住家用,Eastern District,2,2,3
738,26.44254,condominium,30,一層/七層,有,有,住家用,Eastern District,1,2,3
738,14.865272,high-rise  apartment  (building),30,十二層/十四層,有,有,住家用,Eastern District,1,1,2
738,20.9,House,1,全/--,無,無,,Eastern District,2,2,4
735,23.45,House,51,全/二層,無,無,住家用,Eastern District,2,2,3
735,30.077496,condominium,32,四層/六層,有,有,住家用,Eastern District,2,2,4
735,26.8,House,47,全/二層,無,無,住家用,Eastern District,2,2,5
730,17.720868,high-rise  apartment  (building),20,十三層/十四層,有,有,住家用,Eastern District,1,1,1
730,20.886456,high-rise  apartment  (building),23,十一層/二十層,有,有,住家用,Eastern District,2,1,2
730,22.0492,condominium,30,三層/六層,有,有,住家用,Eastern District,2,2,3
730,23.905854,high-rise  apartment  (building),25,六層/十二層,有,有,住家用,Eastern District,2,2,3
730,25.41,House,49,全/二層,無,無,住家用,Eastern District,2,3,4
730,21.81,House,49,全/二層,無,無,住家用,Eastern District,2,2,3
730,21.412824,high-rise  apartment  (building),29,十七層/二十四層,有,有,住家用,Eastern District,2,2,3
730,22.697958,condominium,32,二層/七層,有,有,住家用,Eastern District,2,2,3
730,25.044782,high-rise  apartment  (building),31,七層/十一層,有,有,住家用,Eastern District,2,2,3
720,14.234472,high-rise  apartment  (building),28,十七層/二十層,有,有,住家用,Eastern District,2,1,2
720,20.854376,condominium,29,六層/八層,有,有,住家用,Eastern District,2,2,4
720,20.043414,condominium,30,六層/七層,有,有,住家用,Eastern District,3,2,3
720,23.42749,Apartment,41,二層/五層,無,無,住家用,Eastern District,2,2,3
720,16.920057,condominium,31,四層/七層,有,有,住家用,Eastern District,2,2,3
720,22.991283,high-rise  apartment  (building),31,九層/十一層,有,有,住家用,Eastern District,2,2,4
720,24.9,House,47,全/二層,無,無,住家用,Eastern District,2,2,4
715,23.98,House,52,全/二層,無,無,住家用,Eastern District,2,2,4
715,30.55815,high-rise  apartment  (building),33,十二層/十七層,有,有,住家用,Eastern District,2,2,3
715,14.533466,high-rise  apartment  (building),27,九層/十六層,有,有,住家用,Eastern District,2,1,2
712,22.874859,condominium,32,五層/七層,有,有,住家用,Eastern District,2,2,3
712,28.513128,high-rise  apartment  (building),29,六層/十二層,有,有,住家用,Eastern District,1,2,4
710,13.60872,high-rise  apartment  (building),28,十九層/二十層,有,有,住家用,Eastern District,2,1,2
708,23.532669,condominium,31,三層/六層,有,有,住家用,Eastern District,2,2,3
706,26.12639,condominium,35,五層/五層,無,有,住家用,Eastern District,2,2,4
705,19.907118,high-rise  apartment  (building),25,十層/十四層,有,有,辦公用,Eastern District,1,1,1
702,22.232748,condominium,29,三層/七層,無,有,住家用,Eastern District,2,2,3
700,31.048875,condominium,29,"一層,二層,三層/九層",有,有,住商用,Eastern District,1,3,4
700,28.143264,Apartment,37,二層/五層,無,無,住家用,Eastern District,2,2,3
700,23.136624,Apartment,41,三層/五層,無,無,住家用,Eastern District,2,2,3
700,15.228513,condominium,29,七層/十層,有,有,住家用,Eastern District,2,2,3
700,24.378487,high-rise  apartment  (building),29,十一層/二十四層,有,有,住家用,Eastern District,2,2,3
700,38.793524,high-rise  apartment  (building),28,六層/十八層,有,有,住家用,Eastern District,2,2,3
700,13.900832,condominium,5,二層/七層,有,有,住家用,Eastern District,2,2,2
700,24.125085,high-rise  apartment  (building),31,十層/十六層,有,有,住家用,Eastern District,2,2,3
700,20.058822,high-rise  apartment  (building),25,一層/十四層,有,有,住家用,Eastern District,2,2,2
700,25.65,House,52,全/二層,無,無,住家用,Eastern District,1,2,4
700,22.052574,condominium,31,五層/七層,有,有,住家用,Eastern District,2,2,3
700,26.49,House,42,全/三層,無,無,住商用,Eastern District,2,3,5
700,21.9,House,48,全/二層,無,無,住家用,Eastern District,2,2,3
700,20.685456,high-rise  apartment  (building),24,六層/十四層,有,有,住家用,Eastern District,2,1,2
700,44.513404,Apartment,33,五層/五層,有,無,住家用,Eastern District,2,2,4
700,23.84244,condominium,27,三層/八層,有,有,住家用,Eastern District,2,2,3
700,24.125942,high-rise  apartment  (building),30,二層/十六層,有,有,住家用,Eastern District,1,1,2
698,20.07405,high-rise  apartment  (building),25,九層/十四層,有,有,住家用,Eastern District,2,1,2
690,24.862248,high-rise  apartment  (building),31,十層/十一層,有,有,住家用,Eastern District,1,2,3
690,21.84,House,50,全/二層,無,無,住家用,Eastern District,2,2,5
690,17.16506,high-rise  apartment  (building),28,十五層/二十層,有,有,住家用,Eastern District,2,1,2
690,25.41,House,44,全/二層,無,無,住家用,Eastern District,2,2,2
685,19.52,House,48,全/二層,無,無,住家用,Eastern District,2,3,5
685,19.376488,condominium,30,四層/五層,有,有,住家用,Eastern District,2,2,3
680,21.376902,high-rise  apartment  (building),30,八層/十六層,有,有,住家用,Eastern District,1,1,1
680,21.83,House,51,全/二層,無,無,住家用,Eastern District,1,2,3
680,30.65998,Apartment,40,"五層,夾層/五層",無,無,住家用,Eastern District,2,3,5
680,21.24024,high-rise  apartment  (building),30,七層/十三層,有,有,住家用,Eastern District,2,2,2
680,21.183364,condominium,35,"七層,騎樓/七層",有,有,住家用,Eastern District,2,2,3
680,16.232652,condominium,35,"一層,二層/七層",有,有,住商用,Eastern District,1,1,1
680,14.83,House,53,全/二層,無,無,住家用,Eastern District,2,1,1
680,26.978796,Apartment,39,二層/五層,無,無,住家用,Eastern District,2,2,3
680,28.05,House,47,全/二層,無,無,住家用,Eastern District,1,2,4
680,33.236757,Apartment,42,"一層,二層,騎樓/五層",無,無,住商用,Eastern District,3,2,2
680,20.06,House,47,全/二層,無,無,住家用,Eastern District,2,2,2
680,19.478772,condominium,41,七層/七層,有,有,住家用,Eastern District,2,2,3
675,17.427454,condominium,29,六層/七層,有,有,住家用,Eastern District,2,1,2
675,20.527062,high-rise  apartment  (building),29,七層/二十四層,有,有,住家用,Eastern District,2,2,2
675,24.024057,Apartment,42,"三層,電梯樓梯間/五層",無,無,住家用,Eastern District,2,2,3
668,22.072752,condominium,30,七層/七層,無,有,住家用,Eastern District,2,2,3
668,21.559055,high-rise  apartment  (building),29,七層/二十五層,有,有,住家用,Eastern District,2,1,3
666,19.798098,condominium,44,六層/七層,有,有,住家用,Eastern District,2,2,2
666,39.4,House,50,全/二層,無,無,住家用,Eastern District,1,3,5
666,24.657867,Apartment,43,三層/五層,無,無,住家用,Eastern District,2,2,3
665,14.930811,condominium,27,三層/八層,有,有,住家用,Eastern District,2,1,2
665,26.593875,condominium,31,五層/八層,有,有,住家用,Eastern District,2,2,3
660,15.728474,condominium,30,八層/八層,有,有,住家用,Eastern District,3,1,3
658,18.613674,condominium,31,五層/七層,有,有,住家用,Eastern District,2,1,2
658,25.888446,Apartment,35,四層/五層,無,無,住家用,Eastern District,2,2,3
655,23.479239,condominium,32,七層/七層,有,有,住家用,Eastern District,1,2,5
650,20.362884,condominium,25,二層/十層,有,有,住家用,Eastern District,1,1,2
650,19.198418,condominium,31,一層/六層,有,有,商業用,Eastern District,2,2,3
650,17.07708,high-rise  apartment  (building),25,六層/十四層,有,有,住家用,Eastern District,2,1,2
650,20.84,House,55,全/二層,無,無,住家用,Eastern District,1,1,2
650,24.42363,Apartment,34,二層/五層,有,無,住家用,Eastern District,2,2,3
650,28.50022,condominium,30,七層/七層,有,有,住家用,Eastern District,2,2,4
650,29.56419,Apartment,40,二層/五層,無,無,住家用,Eastern District,2,3,4
650,11.79794,high-rise  apartment  (building),28,八層/二十層,有,有,住家用,Eastern District,2,2,2
650,25.893492,Apartment,40,二層/五層,無,無,住家用,Eastern District,2,2,3
650,21.19644,Apartment,38,二層/五層,無,無,住家用,Eastern District,2,2,3
650,26.204035,condominium,29,一層/七層,有,有,住家用,Eastern District,2,2,3
650,27.87213,condominium,28,七層/九層,有,有,住家用,Eastern District,2,2,4
650,24.086886,condominium,43,五層/七層,無,有,住家用,Eastern District,2,2,3
650,28.513128,high-rise  apartment  (building),29,十層/十二層,有,有,住家用,Eastern District,2,2,4
640,23.2,House,52,全/二層,無,無,住家用,Eastern District,2,2,4
640,21.236009,condominium,32,五層/七層,有,有,住家用,Eastern District,2,2,3
640,18.790395,condominium,39,二層/七層,有,有,住家用,Eastern District,2,2,3
640,22.68133,Apartment,38,三層/五層,無,無,住家用,Eastern District,2,2,3
640,22.836,Apartment,39,四層/五層,無,無,住家用,Eastern District,2,2,3
638,21.000735,condominium,33,五層/七層,有,有,住家用,Eastern District,1,2,4
638,21.621144,high-rise  apartment  (building),29,八層/二十四層,有,有,住家用,Eastern District,2,2,3
636,25.19785,Apartment,39,二層/五層,無,無,住家用,Eastern District,2,2,3
635,19.3914,high-rise  apartment  (building),26,七層/十四層,有,有,辦公用,Eastern District,1,1,1
635,21.933525,condominium,32,一層/六層,有,有,住家用,Eastern District,2,2,3
635,17.61513,high-rise  apartment  (building),29,十一層/十二層,有,有,住家用,Eastern District,2,1,2
632,30.55701,high-rise  apartment  (building),33,十四層/十七層,有,有,住家用,Eastern District,2,2,4
630,11.685225,high-rise  apartment  (building),20,七層/十四層,有,有,住家用,Eastern District,1,1,1
630,9.31,House,55,全/一層,無,無,住家用,Eastern District,1,1,3
630,31.593475,high-rise  apartment  (building),32,十六層/二十二層,有,有,住家用,Eastern District,2,2,2
628,27.961088,condominium,26,七層/七層,有,有,住家用,Eastern District,2,2,4
625,38.77,House,54,全/二層,無,無,住家用,Eastern District,1,3,6
625,20.689385,Apartment,44,二層/五層,無,無,住家用,Eastern District,1,1,3
625,11.379552,condominium,29,一層/七層,有,有,商業用,Eastern District,1,1,1
625,20.107721,high-rise  apartment  (building),29,十六層/十六層,有,有,住家用,Eastern District,2,2,3
620,19.869696,Apartment,37,一層/四層,無,無,住家用,Eastern District,2,3,4
620,17.60304,condominium,31,四層/七層,有,有,住家用,Eastern District,2,2,3
620,19.671138,high-rise  apartment  (building),29,五層/十六層,有,有,住家用,Eastern District,2,1,3
618,21.35403,condominium,31,三層/六層,有,有,住家用,Eastern District,2,2,3
615,20.859391,condominium,30,三層/六層,有,有,住家用,Eastern District,2,2,3
610,19.671138,high-rise  apartment  (building),29,六層/十六層,有,有,住家用,Eastern District,2,1,3
610,26.788372,condominium,40,五層/七層,有,有,住家用,Eastern District,2,2,3
606,28.7456,high-rise  apartment  (building),30,八層/十二層,有,有,商業用,Eastern District,1,1,2
605,20.07405,high-rise  apartment  (building),25,六層/十四層,有,有,住家用,Eastern District,2,1,2
605,17.07708,high-rise  apartment  (building),25,五層/十四層,有,有,住家用,Eastern District,2,1,2
600,65.86,House,34,全/四層,無,無,住家用,Eastern District,2,3,5
600,20.159921,condominium,30,二層/九層,有,有,住家用,Eastern District,2,1,3
600,22.707468,condominium,31,二層/六層,有,有,住家用,Eastern District,2,2,2
600,15.044832,condominium,31,三層/六層,有,有,住家用,Eastern District,2,1,2
600,18.842148,condominium,29,"三層,夾層/六層",有,有,住家用,Eastern District,2,2,4
600,19.798098,condominium,44,四層/七層,無,有,住家用,Eastern District,2,1,3
600,23.47,House,45,全/二層,無,無,住家用,Eastern District,2,2,3
600,16.7034,high-rise  apartment  (building),16,十二層/十四層,有,有,住家用,Eastern District,1,1,1
600,21.4305,condominium,29,二層/八層,無,有,住家用,Eastern District,2,2,3
600,28.143264,Apartment,37,三層/五層,無,無,住家用,Eastern District,2,2,3
600,23.706462,Apartment,42,二層/五層,無,無,住家用,Eastern District,2,2,3
600,39.84,House,43,全/三層,無,無,住商用,Eastern District,2,2,3
600,23.754465,condominium,30,二層/五層,有,有,住家用,Eastern District,2,2,3
600,18.674998,Apartment,40,一層/五層,無,無,住家用,Eastern District,1,4,4
600,22.073922,high-rise  apartment  (building),28,十層/二十三層,有,有,住家用,Eastern District,1,2,3
600,19.05724,Apartment,40,三層/四層,無,無,住家用,Eastern District,2,2,2
600,22.045842,high-rise  apartment  (building),39,四層/十二層,有,有,住家用,Eastern District,2,1,3
600,44.386272,Apartment,36,四層/五層,無,無,住家用,Eastern District,2,2,4
599.9,25.710335,high-rise  apartment  (building),29,三層/十二層,有,有,商業用,Eastern District,1,1,2
595,23.561634,Apartment,40,三層/五層,無,無,住家用,Eastern District,2,1,3
590,20.74136,condominium,31,四層/七層,有,有,住家用,Eastern District,2,1,2
590,35.88825,Apartment,35,五層/五層,無,無,住家用,Eastern District,2,3,6
590,24.82,Apartment,45,一層/四層,無,無,住家用,Eastern District,2,2,3
588,21.178864,Apartment,42,五層/五層,無,無,住家用,Eastern District,1,5,5
588,16.463016,high-rise  apartment  (building),24,五層/十二層,有,有,住家用,Eastern District,1,1,2
586,33.906664,high-rise  apartment  (building),33,九層/二十二層,有,有,商業用,Eastern District,1,1,1
585,24.355722,high-rise  apartment  (building),29,十二層/二十四層,有,有,住家用,Eastern District,2,2,3
585,20.688,condominium,27,四層/五層,無,有,住家用,Eastern District,2,2,3
585,28.619218,Apartment,33,四層/五層,有,無,住家用,Eastern District,2,2,3
583,17.638776,condominium,31,三層/七層,有,有,住家用,Eastern District,2,2,3
583,23.559044,Apartment,40,二層/五層,無,無,住家用,Eastern District,2,1,3
580,24.914112,condominium,31,二層/八層,有,有,住家用,Eastern District,2,2,3
580,23.83927,high-rise  apartment  (building),40,七層/十二層,有,有,住家用,Eastern District,1,2,4
580,14.234628,high-rise  apartment  (building),28,十七層/二十層,有,有,住家用,Eastern District,1,1,2
580,10.96134,condominium,29,七層/七層,無,有,住家用,Eastern District,1,4,4
580,15.636736,high-rise  apartment  (building),30,十層/十四層,有,有,住家用,Eastern District,2,1,2
580,22.147069,condominium,43,五層/七層,無,有,住家用,Eastern District,2,1,2
580,16.05152,condominium,29,六層/七層,有,有,住家用,Eastern District,1,1,2
580,25.90773,Apartment,40,二層/五層,無,無,住家用,Eastern District,2,2,3
580,15.967098,high-rise  apartment  (building),27,六層/十八層,有,有,住家用,Eastern District,2,1,2
579,23.298966,condominium,39,四層/七層,有,有,住家用,Eastern District,2,2,3
575,22.411374,condominium,29,二層/八層,有,有,住家用,Eastern District,1,2,4
575,26.69,Apartment,42,"四層,電梯樓梯間/五層",無,無,住家用,Eastern District,2,2,3
575,17.982987,condominium,32,三層/六層,有,有,住家用,Eastern District,1,2,2
573,21.621144,high-rise  apartment  (building),29,十層/二十四層,有,有,住家用,Eastern District,2,2,3
572,18.963065,condominium,32,三層/六層,有,有,商業用,Eastern District,2,2,2
570,23.83927,high-rise  apartment  (building),40,十二層/十二層,有,有,住家用,Eastern District,2,2,3
570,23.711444,Apartment,42,一層/五層,無,無,住家用,Eastern District,2,2,3
570,14.472352,condominium,32,五層/七層,有,有,住家用,Eastern District,2,2,3
568,26.62,House,1,全/二層,無,無,住家用,Eastern District,3,1,6
568,25.40894,high-rise  apartment  (building),25,九層/十四層,有,有,住家用,Eastern District,2,2,3
565,18.071028,condominium,39,四層/七層,有,有,住家用,Eastern District,2,2,3
560,15.553527,condominium,24,四層/八層,有,有,住家用,Eastern District,1,1,2
560,17.076614,high-rise  apartment  (building),25,八層/十四層,有,有,住家用,Eastern District,2,1,2
560,16.920057,condominium,30,四層/七層,有,有,住家用,Eastern District,2,2,3
560,22.89,House,50,全/二層,無,無,住家用,Eastern District,1,2,4
558,15.570357,high-rise  apartment  (building),25,八層/十二層,有,有,住家用,Eastern District,1,1,2
555,26.032671,Apartment,43,四層/五層,無,無,住家用,Eastern District,2,2,3
555,12.939738,high-rise  apartment  (building),28,十三層/二十層,有,有,住家用,Eastern District,2,1,2
555,16.44204,condominium,28,九層/九層,有,有,住家用,Eastern District,2,1,2
552,108.49,House,30,全/五層,無,無,住商用,Eastern District,2,5,7
550,26.236905,Apartment,40,五層/五層,無,無,住家用,Eastern District,2,2,3
550,16.920057,condominium,31,七層/七層,有,有,住家用,Eastern District,2,2,3
550,31.07,House,21,全/四層,有,無,住家用,Eastern District,2,4,5
550,19.641708,high-rise  apartment  (building),30,十層/十二層,有,有,商業用,Eastern District,2,2,3
550,21.263613,Apartment,41,四層/五層,無,無,住家用,Eastern District,4,1,4
550,12.90385,high-rise  apartment  (building),16,十一層/十四層,有,有,住家用,Eastern District,1,1,1
550,21.891597,condominium,30,"九層,十層,走廊/十層",有,有,住商用,Eastern District,2,2,3
550,36.579752,Apartment,42,三層/五層,無,無,住家用,Eastern District,1,2,4
